id;start_date;end_date;language
1;2023-01-08T11:53:38;2023-01-08T09:43:53;ENGLISH
2;2023-01-07T21:21:13;2023-01-08T06:46:42;FRENCH
3;2023-01-08T07:17:25;2023-01-07T19:22:33;SPANISH
4;2023-01-08T11:48:14;2023-01-07T17:14:33;FRENCH
5;2023-01-08T14:04:37;2023-01-07T22:23:35;ENGLISH
6;2023-01-07T23:35:20;2023-01-08T13:35:40;SPANISH
7;2023-01-08T07:39:08;2023-01-07T18:13:17;FRENCH
8;2023-01-07T22:05:01;2023-01-07T18:40:50;FRENCH
9;2023-01-07T22:56:39;2023-01-08T10:28:05;FRENCH
10;2023-01-07T18:53:37;2023-01-08T11:51:06;FRENCH
